,0,1,2,3,4,5,6,7,8,9
0,-2.69695838985767,-0.320277509323635,0.864021338050623,-0.427931182496779,0.0646706979942195,0.0140238308043110,-0.000936419135146728,-0.000123391566465551,6.26351498513726e-5,3.30630508914391e-6
1,-2.82506939358713,0.370939561116863,0.350503919054488,-0.324458065706028,0.0927183596028415,0.0117764248799589,-0.00128191552125027,7.70409130588417e-5,7.45378481722907e-5,
2,-2.67669356914038,0.651342696360454,-0.0388457597927448,-0.176108690341481,0.116271209362759,0.00869982762895821,-0.00106620096468551,0.000315562027210172,,
3,-2.41615649059620,0.620266088526258,-0.250176188202522,0.00992524463893365,0.133670864620676,0.00614094531371298,-0.000182627288497032,,,
4,-2.16805005518570,0.420125137964240,-0.238265894635802,0.223798628032015,0.145952755248102,0.00570263982132010,,,,
5,-2.00000000000000,0.229512422255599,0.0302924590026159,0.457323036428977,0.157358034890742,,,,,
6,-1.90819503109776,0.253746389457691,0.579080102717389,0.709095892254164,,,,,,
7,-1.80669647531468,0.717010471631602,1.42999517342239,,,,,,,
8,-1.51989228666204,1.86100661036951,,,,,,,,
9,-0.775489642514239,,,,,,,,,
